RELAÇÃO DE COLABORADORES — FRETAMENTO 2026
Empresa Modelo S.A. · exportado do RH

Matrícula;Colaborador;Endereço;Nº;Bairro;Planta;Turno de trabalho;Mobilidade reduzida;Latitude;Longitude;Centro de custo
50000;DOUGLAS NUNES;Estrada do Contorno;1140;Jardim Operário;Planta 1 — Fábrica;turno 2;;-47.820919;-21.165104;CC-5020 Manutenção
50001;Paulo Santos;Travessa da Fábrica;24;Vila Industrial;Planta 2 — Centro de distribuição;turno 1;;-21.138839;-47.78068;CC-2040 Logística
50002;Márcia Lima;Rodovia SP-330 km 12;s/n;Centro;Planta 1 — Fábrica;T2;;;;CC-1010 Produção
50003;Sérgio Moreira;Rua 7 de Setembro;51;Distrito de Bonfim;Planta 2 — Centro de distribuição;1 TURNO;;-21.220743;-47.880241;CC-4090 Administrativo
50004;Cláudia Queiroz;Travessa da Fábrica;816;Zona Rural Norte;Escritório administrativo;Geral;;-21.079629;-47.782466;CC-4090 Administrativo
50005;Tânia Teixeira;Rua das Palmeiras;1072;Jardim Operário;Planta 2 — Centro de distribuição;T2;;-21.185687;-47.823057;CC-4090 Administrativo
50006;Paulo Esteves;Travessa da Fábrica;962;Vila Industrial;Planta 1 — Fábrica;B;;-21.14031;-47.798444;CC-4090 Administrativo
50007;Jonas Teixeira;Rua das Palmeiras;68;Centro;Escritório administrativo;Administrativo;;-21.154768;-47.792486;CC-5020 Manutenção
50008;Odete Teixeira;Travessa da Fábrica;890;Distrito de Bonfim;Planta 1 — Fábrica;B;;-21.21243;-47.879718;CC-1010 Produção
50009;Jonas Nunes;Rodovia SP-330 km 12;531;Zona Rural Norte;Planta 2 — Centro de distribuição;turno 2;não;-21.135626;-47.745492;CC-2040 Logística
50010;Nilton Teixeira;Estrada do Contorno;843;Jardim Operário;Escritório administrativo;Administrativo;;-21.159595;-47.822238;CC-1010 Produção
50011;Cláudia Almeida;Estrada do Contorno;508;Vila Industrial;Planta 2 — Centro de distribuição;T2;;-21.143444;-47.800872;CC-5020 Manutenção
50012;Iara Pires;Travessa da Fábrica;277;Centro;Planta 1 — Fábrica;A;;-21.167193;-47.808287;CC-5020 Manutenção
50013;Edna Moreira;Rua 7 de Setembro;1040;Distrito de Bonfim;Planta 2 — Centro de distribuição;turno 1;;-21.180459;-47.87061;CC-2040 Logística
50014;Renata Gonçalves;Av. dos Trabalhadores;s/n;Zona Rural Norte;Planta 1 — Fábrica;2 TURNO;não;;;CC-1010 Produção
50015;Adriana Teixeira;Travessa da Fábrica;1171;Jardim Operário;Planta 2 — Centro de distribuição;A;;-21.173739;-47.807779;CC-2040 Logística
50016;Tânia Gonçalves;Av. Industrial;1121;Vila Industrial;Planta 1 — Fábrica;turno 2;;-21.160875;-47.797717;CC-2040 Logística
50017;Bruno Barbosa;Rua das Palmeiras;265;Centro;Planta 2 — Centro de distribuição;B;;-21.15415;-47.793532;CC-5020 Manutenção
50018;Edna Farias;Av. Industrial;785;Distrito de Bonfim;Planta 1 — Fábrica;3 TURNO;;-21.208196;-47.837852;CC-2040 Logística
50019;IARA SANTOS;Av. dos Trabalhadores;1064;Zona Rural Norte;Planta 2 — Centro de distribuição;turno 2;;-21.127307;-47.744021;CC-5020 Manutenção
50020;Renata Lima;Travessa da Fábrica;s/n;Jardim Operário;Escritório administrativo;COMERCIAL;;;;CC-2040 Logística
50021;Adriana Pires;Estrada do Contorno;225;Vila Industrial;Escritório administrativo;Geral;;-21.155513;-47.803228;CC-5020 Manutenção
50022;Tânia Gonçalves;Rua 7 de Setembro;198;Centro;Planta 1 — Fábrica;turno 2;;-21.160417;-47.807416;CC-1010 Produção
50023;Leandro Farias;Av. Industrial;597;Distrito de Bonfim;Planta 2 — Centro de distribuição;3 TURNO;;-21.2141;-47.838435;CC-3070 Qualidade
50024;Cláudia Almeida;Rua das Palmeiras;s/n;Zona Rural Norte;Planta 1 — Fábrica;T2;;;;CC-1010 Produção
50025;Jonas Duarte;Av. dos Trabalhadores;934;Jardim Operário;Planta 2 — Centro de distribuição;A;;-21.151456;-47.816392;CC-5020 Manutenção
50026;Bruno Queiroz;Av. Industrial;767;Vila Industrial;Planta 1 — Fábrica;A;;-21.165407;-47.786319;CC-3070 Qualidade
50027;Márcia Moreira;Rua das Palmeiras;577;Centro;Escritório administrativo;COMERCIAL;;-21.15875;-47.811148;CC-1010 Produção
50028;Jonas Ramos;Rodovia SP-330 km 12;s/n;Distrito de Bonfim;Planta 1 — Fábrica;T1;;;;CC-1010 Produção
50029;Fernando Duarte;Rua 7 de Setembro;59;Zona Rural Norte;Planta 2 — Centro de distribuição;turno 1;;-21.122325;-47.730858;CC-3070 Qualidade
50030;Nilton Queiroz;Rua Dom Pedro;1112;Jardim Operário;Planta 1 — Fábrica;T2;;-21.179257;-47.830125;CC-5020 Manutenção
50031;Sérgio Queiroz;Rodovia SP-330 km 12;981;Vila Industrial;Escritório administrativo;Escritório;;-21.149441;-47.785935;CC-3070 Qualidade
50032;Edna Cardoso;Rodovia SP-330 km 12;544;Centro;Escritório administrativo;COMERCIAL;;-21.16491;-47.812537;CC-3070 Qualidade
50033;Bruno Almeida;Rodovia SP-330 km 12;309;Distrito de Bonfim;Planta 2 — Centro de distribuição;turno 3;;-21.190697;-47.854513;CC-3070 Qualidade
50034;Hélio Lima;Rodovia SP-330 km 12;971;Zona Rural Norte;Planta 1 — Fábrica;B;;-21.12306;-47.731805;CC-2040 Logística
50035;Nilton Esteves;Rodovia SP-330 km 12;837;Jardim Operário;Planta 2 — Centro de distribuição;T2;;-21.181941;-47.799492;CC-1010 Produção
50036;Jonas Pires;Rua das Palmeiras;1093;Vila Industrial;Planta 1 — Fábrica;2º turno;;-21.151343;-47.795958;CC-5020 Manutenção
50037;Jonas Barbosa;Rua Dom Pedro;1042;Centro;Escritório administrativo;ADM;;-21.149411;-47.805025;CC-4090 Administrativo
50038;KÁTIA LIMA;Rua 7 de Setembro;605;Distrito de Bonfim;Planta 1 — Fábrica;A;;-21.21254;-47.872264;CC-2040 Logística
50039;Márcia Gonçalves;Rua Projetada B;729;Zona Rural Norte;Escritório administrativo;Geral;;-21.078929;-47.790057;CC-5020 Manutenção
50040;Adriana Farias;Rua das Palmeiras;768;Jardim Operário;Planta 1 — Fábrica;T1;;-21.162106;-47.813575;CC-2040 Logística
50041;Sérgio Esteves;Av. Industrial;150;Vila Industrial;Planta 2 — Centro de distribuição;turno 2;;-21.142462;-47.784056;CC-3070 Qualidade
50042;Douglas Pires;Av. dos Trabalhadores;934;Centro;Planta 1 — Fábrica;B;;-21.164016;-47.805191;CC-1010 Produção
50043;Cláudia Teixeira;Rua Projetada B;1037;Distrito de Bonfim;Planta 2 — Centro de distribuição;C;;-21.212211;-47.871702;CC-4090 Administrativo
50044;Márcia Nunes;Av. dos Trabalhadores;718;Zona Rural Norte;Planta 1 — Fábrica;turno 1;;-21.092961;-47.722886;CC-5020 Manutenção
50045;Márcia Gonçalves;Rua 7 de Setembro;674;Jardim Operário;Planta 2 — Centro de distribuição;T1;;-21.174572;-47.821898;CC-4090 Administrativo
